MaintenanceID,EquipmentID,TechnicianID,HospitalID,WorkOrderDate,WorkOrderTypeCode,PriorityCode,FailureCode,LaborHours,LaborCost,PartsCost,DowntimeHours,ResolutionMinutes,Comments
9001,1001,501,201,3/1/2026,PM,HIGH,FC01,2.5,350,125,1,90,Annual tune-up
9002,1002,502,202,3/2/2026,CM,MED,FC14,4,560,780,3.5,150,Replaced cooling fan
9003,1003,503,203,3/2/2026,PM,LOW,FC02,1.5,210,,0.5,60,Preventive inspection
9004,1004,504,204,3/3/2026,CM,HIGH,FC21,5.5,770,240,4,180,Detector calibration
9005,1005,505,205,3/3/2026,CM,HIGH,FC31,6,840,950,6.5,210,Alarm failure
9006,1006,506,206,3/4/2026,PM,LOW,FC03,1,140,35,0,45,Battery check
9007,1007,507,207,3/4/2026,CM,MED,FC18,3,420,110,2,95,Network port issue
9008,1008,508,208,3/5/2026,CM,HIGH,FC25,4.5,630,260,5,140,Pad connector replaced
9009,1009,509,209,3/5/2026,PM,LOW,FC04,2,280,85,,75,Quarterly PM
9010,1010,510,210,3/6/2026,CM,MED,FC09,3.5,490,150,1.5,120,Paper feed jam
9011,1011,511,211,3/6/2026,CM,HIGH,FC15,5,700,1200,7,240,Gradient fault
9012,1012,512,212,3/7/2026,PM,LOW,FC05,2,280,95,0.5,70,Lubrication
9013,1013,513,213,3/7/2026,CM,MED,FC11,3,420,,2,105,Screen flicker
9014,1014,514,214,3/8/2026,CM,HIGH,FC22,4.5,630,330,4.5,160,Tube warmup error
9015,1015,515,215,3/8/2026,PM,LOW,FC06,1.5,210,45,0,50,Filter replacement
9016,1016,516,216,3/9/2026,CM,MED,FC12,2.5,350,65,1,80,Pump sensor adjustment
9017,1017,517,217,3/9/2026,CM,HIGH,FC19,4,560,180,3,135,Lead fault
9018,1018,518,218,3/10/2026,PM,LOW,FC07,1,140,25,0,40,Battery PM
9019,1019,519,219,3/10/2026,CM,HIGH,FC32,5,700,410,5.5,175,Gas flow calibration
9020,1020,520,220,3/11/2026,CM,MED,FC10,2.5,350,95,,85,Cable replacement
9021,1021,521,221,3/11/2026,PM,LOW,FC08,2,280,110,0.5,65,Coil inspection
9022,1022,522,222,3/12/2026,CM,HIGH,FC16,5.5,770,920,6,205,Table motor fault
9023,1023,523,223,3/12/2026,CM,MED,FC13,3,420,145,2.5,100,Probe cable fray
9024,1024,524,224,3/13/2026,PM,LOW,FC06,1.5,210,,0,55,Routine PM
9025,1025,525,225,3/13/2026,CM,MED,FC20,3.5,490,160,2,110,Display reset
